tx, ty, tz
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
1.70259, 0.0210583, 2.51175
